"","ID","cluster"
"Indiv217","217",4
"Indiv218","218",4
"Indiv219","219",3
"Indiv220","220",4
"Indiv221","221",2
"Indiv222","222",4
"Indiv223","223",4
"Indiv224","224",2
"Indiv225","225",4
"Indiv226","226",4
"Indiv227","227",3
"Indiv228","228",3
"Indiv229","229",4
"Indiv230","230",1
"Indiv231","231",2
"Indiv232","232",4
"Indiv233","233",4
"Indiv234","234",4
"Indiv235","235",3
"Indiv236","236",2
"Indiv237","237",4
"Indiv238","238",1
"Indiv239","239",3
"Indiv240","240",3
"Indiv241","241",4
"Indiv242","242",4
"Indiv243","243",3
"Indiv244","244",4
"Indiv245","245",2
"Indiv246","246",1
"Indiv247","247",4
"Indiv248","248",1
"Indiv249","249",2
"Indiv250","250",1
"Indiv251","251",2
"Indiv252","252",4
"Indiv253","253",2
"Indiv254","254",2
"Indiv255","255",3
"Indiv256","256",4
"Indiv257","257",3
"Indiv258","258",4
"Indiv259","259",4
"Indiv260","260",4
"Indiv261","261",4
"Indiv262","262",2
"Indiv263","263",2
"Indiv264","264",2
"Indiv265","265",3
"Indiv266","266",4
"Indiv267","267",2
"Indiv268","268",2
"Indiv269","269",2
"Indiv270","270",1
"Indiv271","271",1
"Indiv272","272",4
"Indiv273","273",3
"Indiv274","274",4
"Indiv275","275",3
"Indiv276","276",4
"Indiv277","277",2
"Indiv278","278",4
"Indiv279","279",4
"Indiv280","280",3
"Indiv281","281",2
"Indiv282","282",4
"Indiv283","283",4
"Indiv284","284",2
"Indiv285","285",2
"Indiv286","286",4
"Indiv287","287",4
"Indiv288","288",4
"Indiv289","289",4
"Indiv290","290",3
"Indiv291","291",3
"Indiv292","292",4
"Indiv293","293",4
"Indiv294","294",1
"Indiv295","295",4
"Indiv296","296",4
"Indiv297","297",4
"Indiv298","298",4
"Indiv299","299",3
"Indiv300","300",1
"Indiv301","301",1
"Indiv302","302",2
"Indiv303","303",4
"Indiv304","304",1
"Indiv305","305",2
"Indiv306","306",4
"Indiv307","307",3
"Indiv308","308",4
"Indiv309","309",4
"Indiv310","310",4
"Indiv311","311",3
"Indiv312","312",2
"Indiv313","313",3
