t.1,t.2,t.3,t.4,t.5,t.6,t.7,t.8,t.9,t.10,t.11,t.12,t.13,t.14,t.15,t.16,t.17,t.18,t.19,t.20,t.21,t.22,t.23,t.24
36.923076923077005,29.230769230769315,40.00000000000002,38.46153846153847,38.46153846153847,36.923076923077005,35.38461538461545,33.84615384615389,38.46153846153847,33.84615384615389,35.38461538461545,35.38461538461545,33.84615384615389,35.38461538461545,33.84615384615389,55.38461538461541,47.692307692307715,38.46153846153847,33.84615384615389,33.84615384615389,33.84615384615389,33.84615384615389,33.84615384615389,29.230769230769315
35.38461538461545,40.00000000000002,38.46153846153847,38.46153846153847,38.46153846153847,27.69230769230776,20.000000000000064,12.307692307692374,16.923076923076945,10.769230769230813,12.54555785512143,15.4553531979195,13.846153846153934,13.846153846153934,24.615384615384635,23.076923076923077,38.46153846153847,50.76923076923083,56.92307692307696,47.692307692307715,55.38461538461541,33.84615384615389,23.076923076923077,26.1538461538462
43.07692307692314,49.23076923076927,47.692307692307715,53.84615384615385,49.23076923076927,67.69230769230778,44.6153846153847,40.00000000000002,24.615384615384635,40.00000000000002,49.23076923076927,46.15384615384615,52.3076923076924,47.692307692307715,44.6153846153847,50.76923076923083,38.46153846153847,41.53846153846158,47.692307692307715,55.38461538461541,43.07692307692314,30.76923076923077,33.84615384615389,24.615384615384635
58.46153846153853,63.076923076923094,50.76923076923083,56.92307692307696,43.07692307692314,63.076923076923094,56.92307692307696,53.84615384615385,56.92307692307696,66.15384615384622,80.00000000000004,64.61538461538467,75.38461538461547,64.61538461538467,58.46153846153853,78.46153846153848,55.48170037164456,38.46153846153847,38.46153846153847,56.92307692307696,55.38461538461541,52.3076923076924,30.76923076923077,32.307692307692335
55.38461538461541,44.6153846153847,49.23076923076927,41.53846153846158,33.84615384615389,33.84615384615389,33.84615384615389,29.230769230769315,30.76923076923077,43.07692307692314,38.46153846153847,58.46153846153853,56.92307692307696,66.15384615384622,55.38461538461541,61.53846153846154,36.923076923077005,61.53846153846154,73.84615384615391,69.23076923076923,43.07692307692314,47.692307692307715,41.53846153846158,32.307692307692335
67.69230769230778,64.61538461538467,63.076923076923094,72.30769230769235,61.53846153846154,66.15384615384622,78.46153846153848,67.69230769230778,72.30769230769235,58.46153846153853,20.000000000000064,29.230769230769315,9.230769230769251,27.69230769230776,46.15384615384615,30.76923076923077,40.00000000000002,36.923076923077005,44.6153846153847,36.923076923077005,41.53846153846158,35.38461538461545,29.230769230769315,32.307692307692335
33.84615384615389,53.84615384615385,38.46153846153847,36.923076923077005,33.84615384615389,30.76923076923077,29.230769230769315,24.615384615384635,38.46153846153847,43.07692307692314,32.307692307692335,33.84615384615389,41.53846153846158,38.46153846153847,43.07692307692314,41.53846153846158,33.84615384615389,50.76923076923083,44.6153846153847,44.6153846153847,36.923076923077005,49.23076923076927,43.07692307692314,38.46153846153847
33.84615384615389,30.76923076923077,47.692307692307715,46.15384615384615,64.61538461538467,58.46153846153853,55.38461538461541,49.23076923076927,47.692307692307715,41.53846153846158,56.92307692307696,69.23076923076923,46.15384615384615,41.53846153846158,36.923076923077005,40.00000000000002,41.53846153846158,33.84615384615389,29.230769230769315,33.84615384615389,38.46153846153847,38.625298625973414,40.80600435298381,45.14368244841357
26.1538461538462,29.230769230769315,26.1538461538462,32.307692307692335,35.38461538461545,29.230769230769315,32.307692307692335,26.1538461538462,38.46153846153847,38.46153846153847,30.76923076923077,30.76923076923077,26.1538461538462,26.1538461538462,36.923076923077005,33.84615384615389,27.69230769230776,27.69230769230776,29.230769230769315,36.923076923077005,30.76923076923077,32.307692307692335,35.38461538461545,35.38461538461545
38.46153846153847,41.53846153846158,43.07692307692314,50.76923076923083,50.76923076923083,49.23076923076927,30.76923076923077,32.307692307692335,33.84615384615389,36.923076923077005,32.307692307692335,30.76923076923077,27.69230769230776,26.1538461538462,30.76923076923077,30.76923076923077,40.00000000000002,40.00000000000002,36.923076923077005,38.46153846153847,36.923076923077005,38.46153846153847,36.923076923077005,36.923076923077005
