cluster,白细胞,CRP,TNF,PTC,il6,il10,性别,年龄,SOFA,APACHE,转归,机械通气,住院时长,是否二感
1,13.988854166666666,159.70269791666666,1.5371354166666666,,1829.29880209375,501.1318723984375,0.28125,73.09375,11.15625,25.90625,0.1875,0.90625,21.59375,0.28125
2,12.616284722222224,154.42276041666665,2.0272222222222225,,1550.5981250006873,429.9160980904496,0.3541666666666667,68.6875,9.125,22.458333333333332,0.20833333333333334,0.8958333333333334,16.875,0.3333333333333333
3,15.196080246913581,176.25620679012349,1.6447993827160492,,1078.3865740092037,317.87091510723917,0.2962962962962963,67.98148148148148,9.148148148148149,23.314814814814813,0.2777777777777778,0.9444444444444444,23.314814814814813,0.3888888888888889
4,12.813463203463204,144.94430952380952,1.479922077922078,,800.1034924277272,239.8352968082305,0.3961038961038961,74.0909090909091,8.7012987012987,23.136363636363637,0.38311688311688313,0.8311688311688312,21.681818181818183,0.461038961038961
