cluster,白细胞,CRP,TNF,PTC,il6,il10,性别,年龄,SOFA,APACHE,prognosis,机械通气,住院时长,是否二感,慢性病个数,入院感染部位,新感部位,BMI,血红蛋白,血小板,总胆,间胆,白蛋白,AST,ALT,肌酐,CRRT,深静脉置管,入量,出量,血管活性药物,慢性心脏疾病,慢性肝脏疾病,慢性肺疾病,慢性肾脏疾病,合并症,感染部位拼接,入量-出量,高血压,糖尿病,肿瘤
1,8.052279547042378,97.60900081665818,1.4043894402340955,30.971645024017615,5294.927255419447,1071.3430936608997,0.4522670168666455,11.960398670764965,4.2828498724918,8.353007079652649,0.5018903659106632,0.2919371040605712,17.52935849056973,0.478713553878169,0.24230584229877994,0.478713553878169,0.2919371040605711,3.608104146266156,22.990528352767235,96.40997135025802,156.1262076887565,10.336740335210889,4.745987140668835,522.9890110526399,112.68847847858353,218.70553664999804,0.5075192189225523,0.4666937221594376,1732.1964430049761,1075.795231761983,0.4666937221594376,0.24230584229877997,0.17407765595569785,0.24230584229877997,0.4522670168666455,0.4351941398892446,0.5607084263625252,1970.1525066718705,0.4961976634488732,0.4666937221594376,0.45226701686664544
2,14.35308916073371,108.11765005385811,4.106062954836414,27.753701107454525,5135.055635653787,1033.4128429153104,0.5055250296034367,14.041496941695224,3.849176745248472,8.11159539165877,0.502518907629606,0.28779903201415186,13.929185985628243,0.47673129462279606,0.4045199174779453,0.4045199174779452,0.2522624895547565,4.236956967380522,28.524541976156158,97.69046664197725,28.106395440299078,11.983575881559346,7.123858760276177,213.20517457286644,124.9534377924898,130.11454677640114,0.38664576746028073,0.4583677673015523,1754.3688685361722,1787.1703572571323,0.4346134936801766,0.14907119849998596,0.3437758254761643,0.2084090771399927,0.25226248955475644,0.4583677673015523,0.49543369430686224,2058.03239046965,0.502518907629606,0.45836776730155243,0.4346134936801766
3,7.053888452954189,104.52955478976844,5.1085646792345845,26.966602861957284,3234.32495276809,653.0138233652449,0.4190790380624748,15.658281247741865,4.182535067441011,8.039489071863358,0.4931689018948893,0.2959013411369336,19.301088105289065,0.46922712106381176,0.3826765896260495,0.2458045298026051,0.1259881576697424,4.400405883620759,37.259960540749475,98.85612544575294,22.70132301352192,8.366575479457305,7.541236695400651,323.4760797857369,210.81450557390178,105.83131916271009,0.29590134113693367,0.44744252492140146,2173.550340176201,1344.987212253883,0.46263343794052064,0.17673143177130227,0.38267658962604945,0.1259881576697424,0.2959013411369336,0.48054841516113245,0.27247890131917823,1968.9222119012668,0.500895255864607,0.4079346152039786,0.3958308068477864
4,6.879602310117578,121.50002725172651,0.7742322260691852,23.85033218248486,2565.28904293446,523.0331965789392,0.4847742979480661,12.25075733787741,3.634549259593745,7.374432787810089,0.4654527546699723,0.3702524858860147,21.335924592727967,0.4973409506725042,0.32149521478027476,0.2829652972453061,0.3214952147802747,4.34563098991739,25.637961025784318,103.60755046715413,36.006878333142154,10.043069142154584,5.4827507909397175,463.0616160010656,194.74470162243057,145.02948271104455,0.35925334723041913,0.42733188401953714,1428.942158988316,1370.622629932415,0.4761052263843647,0.21120521569993217,0.39940796660333366,0.25549848877082987,0.39940796660333366,0.4469322118764589,0.43176441335053406,1768.384900197493,0.5011546575180897,0.44080431659914104,0.42733188401953714
